timestamp_ms,emotion,confidence,vectors_used,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
16500,happy,0.9,7,0.0,0.04089,0.05683,0.04389,0.12335,0.06778,2e-05,0.0,0.0,0.1154,0.12862,0.29122,0.30995,0.02651,0.08793,0.13041,0.0613,0.03224,0.02102,0.41975,0.24354,0.00876,0.00349,3e-05,0.00012,0.00041,1e-05,0.00017,0.00413,0.00561,0.00019,0.0002,0.00069,0.00173,4e-05,3e-05,0.02763,0.02878,0.0275,0.00141,0.00125,0.00149,0.09909,0.02306,0.77239,0.79762,0.00412,0.00897,0.01896,0.03233,0.0,0.0
17000,happy,0.9,8,0.0,0.03995,0.05082,0.04404,0.12932,0.07444,2e-05,0.0,0.0,0.11324,0.11854,0.285,0.30284,0.02754,0.08328,0.12618,0.06359,0.03181,0.02173,0.40209,0.24542,0.0087,0.00389,3e-05,0.00012,0.0004,1e-05,0.00016,0.00413,0.00474,0.00021,0.00023,0.00069,0.00173,4e-05,3e-05,0.02718,0.02721,0.02723,0.00133,0.00127,0.0015,0.08943,0.0227,0.76452,0.78787,0.004,0.00991,0.01829,0.03,0.0,0.0
17500,happy,0.9,7,0.0,0.03891,0.05239,0.03389,0.13794,0.07512,2e-05,0.0,0.0,0.10468,0.10972,0.27113,0.28675,0.02814,0.08194,0.12258,0.06362,0.03318,0.02371,0.38083,0.254,0.00927,0.00429,3e-05,0.00013,0.00038,1e-05,0.00015,0.00382,0.00398,0.00024,0.00027,0.00071,0.00154,4e-05,3e-05,0.02484,0.02445,0.02899,0.0014,0.00122,0.00136,0.08482,0.02377,0.7592,0.7808,0.00418,0.01146,0.01846,0.02958,0.0,0.0
18000,happy,0.9,8,0.0,0.02947,0.04058,0.04596,0.18443,0.07086,2e-05,0.0,0.0,0.10063,0.09031,0.26652,0.27586,0.03044,0.08413,0.11986,0.0626,0.03921,0.02803,0.41365,0.25057,0.01107,0.00533,6e-05,0.0001,0.00037,1e-05,0.00011,0.00342,0.0041,0.0004,0.00043,0.00072,0.00082,0.00013,0.00016,0.02483,0.02573,0.02472,0.0028,0.00126,0.00117,0.07049,0.02016,0.6847,0.72085,0.00519,0.02339,0.00874,0.01467,0.0,0.0
18500,happy,0.9,7,0.0,0.04074,0.05708,0.02993,0.13081,0.07345,2e-05,0.0,0.0,0.10365,0.1174,0.2879,0.30241,0.02729,0.08875,0.13026,0.0613,0.03257,0.02191,0.39704,0.24705,0.00981,0.00398,2e-05,0.00014,0.00047,1e-05,0.00021,0.00501,0.00427,0.0002,0.00023,0.00068,0.00185,3e-05,2e-05,0.02986,0.02534,0.02891,0.00133,0.0014,0.00163,0.11627,0.02534,0.7592,0.77146,0.00321,0.00911,0.0172,0.028,0.0,0.0
19000,happy,0.9,8,0.0,0.04202,0.05814,0.02452,0.12836,0.0758,2e-05,0.0,0.0,0.11026,0.12725,0.26964,0.28846,0.06011,0.04132,0.0733,0.11098,0.03424,0.02347,0.40688,0.26077,0.00924,0.00354,2e-05,0.00013,0.00047,1e-05,0.00019,0.00449,0.00458,0.00022,0.00025,0.00064,0.00146,3e-05,3e-05,0.03078,0.02861,0.0266,0.00152,0.00158,0.00167,0.09887,0.02192,0.74402,0.76607,0.00336,0.00906,0.01294,0.02208,0.0,0.0
19500,happy,0.9,7,0.0,0.04044,0.05672,0.01996,0.13985,0.08017,2e-05,0.0,0.0,0.11239,0.13118,0.27242,0.289,0.06926,0.03563,0.06764,0.12626,0.03324,0.02312,0.39172,0.27269,0.00918,0.00338,2e-05,0.00015,0.00048,1e-05,0.00019,0.00406,0.00466,0.00024,0.00027,0.00061,0.00127,3e-05,2e-05,0.0303,0.03018,0.02541,0.00174,0.00167,0.0017,0.1055,0.02154,0.72977,0.75992,0.0032,0.00854,0.01017,0.01803,0.0,0.0
20000,happy,0.9,8,0.0,0.04003,0.04763,0.03431,0.13767,0.07753,2e-05,0.0,0.0,0.11432,0.11998,0.30148,0.30984,0.02858,0.08334,0.12123,0.0605,0.02919,0.02028,0.37332,0.24146,0.00868,0.00374,2e-05,0.00015,0.00044,1e-05,0.00017,0.00394,0.00444,0.0002,0.00022,0.00066,0.00141,3e-05,2e-05,0.02789,0.02609,0.02839,0.00157,0.00147,0.00159,0.09046,0.02062,0.73309,0.75292,0.00313,0.00705,0.00935,0.0159,0.0,0.0
20500,happy,0.9,7,0.0,0.03825,0.0453,0.0355,0.14569,0.07754,2e-05,0.0,0.0,0.11175,0.11254,0.31286,0.3154,0.02483,0.09462,0.13345,0.05397,0.02736,0.02005,0.36993,0.25631,0.0087,0.00419,3e-05,0.00013,0.00042,1e-05,0.00016,0.0036,0.00407,0.00024,0.00026,0.00068,0.00144,4e-05,3e-05,0.02767,0.02775,0.02775,0.00139,0.00155,0.00147,0.07571,0.01912,0.73182,0.7598,0.00372,0.00888,0.00907,0.01544,0.0,0.0
21000,happy,0.9,8,0.0,0.029,0.0455,0.03566,0.22187,0.07614,2e-05,0.0,0.0,0.09641,0.12211,0.23808,0.25914,0.02688,0.08091,0.12781,0.06174,0.0456,0.03181,0.41567,0.27613,0.01164,0.00424,6e-05,0.00012,0.00041,1e-05,0.00013,0.00295,0.00452,0.00024,0.00024,0.00078,0.00064,0.00016,0.00017,0.02237,0.02592,0.02578,0.00299,0.00117,0.00127,0.03792,0.01297,0.61078,0.67365,0.00423,0.01572,0.00465,0.00925,0.0,0.0
